place   sex     color   min         max lvl
       1       0       1    17.8    18.6      21
       1       0       1    18.7    19.4      22
       1       0       1    19.5    20.3      23
       1       0       1    20.4    21.1      24
       1       0       1    21.2    22.0      25
       1       0       1    22.1    22.8      26
       1       0       1    22.9    23.7      27
       1       0       1    23.8    24.5      28
       1       0       1    24.6    25.4      29
       1       0       1    25.5    26.2      30
       1       0       1    26.3    27.1      31
       1       0       1    27.2    27.9      32
       1       0       1    28.0    28.8      33
       1       0       1    28.9    29.6      34
       1       0       1    29.7    30.5      35
       1       0       1    30.6    31.3      36
       1       0       1    31.4    32.2      37
       1       0       1    32.3    33.0      38
       1       0       1    33.1    33.8      39
       1       0       1    33.9    34.7      40
       1       0       1    34.8    35.5      41
       1       0       1    35.6    36.4      42
       1       0       1    36.5    37.2      43
       1       0       1    37.3    38.1      44
       1       0       1    38.2    38.9      45
       1       0       1    39.0    39.8      46
       1       0       1    39.9    40.6      47
       1       0       1    40.7    41.5      48
       1       0       1    41.6    42.3      49
       1       0       1    42.4    43.2      50
       1       0       1    43.3    44.0      51
       1       0       1    44.1    44.9      52
       1       0       1    45.0    45.7      53
       1       0       1    45.8    46.6      54
       1       0       1    46.7    47.4      55
       1       0       1    47.5    48.3      56
       1       0       1    48.4    49.1      57
       1       0       1    49.2    50.0      58
       1       0       1    50.1    50.8      59
       1       0       1    50.9    51.7      60
       1       0       1    51.8    52.5      61
       1       0       1    52.6    53.4      62
       1       0       1    53.5    54.0      63
       1       0       3    -4.5    -3.7     -10
       1       0       3    -3.6    -2.8      -9
       1       0       3    -2.7    -1.9      -8
       1       0       3    -1.8    -1.0      -7
       1       0       3    -0.9    -0.1      -6
       1       0       3     0.0     0.9      -5
       1       0       3     1.0     1.8      -4
       1       0       3     1.9     2.7      -3
       1       0       3     2.8     3.6      -2
       1       0       3     3.7     4.5      -1
       1       0       3     4.6     5.5       0
       1       0       3     5.6     6.4       1
       1       0       3     6.5     7.3       2
       1       0       3     7.4     8.2       3
       1       0       3     8.3     9.1       4
       1       0       3     9.2    10.1       5
       1       0       3    10.2    11.0       6
       1       0       3    11.1    11.9       7
       1       0       3    12.0    12.8       8
       1       0       3    12.9    13.7       9
       1       0       3    13.8    14.6      10
       1       0       3    14.7    15.6      11
       1       0       3    15.7    16.5      12
       1       0       3    16.6    17.4      13
       1       0       3    17.5    18.3      14
       1       0       3    18.4    19.2      15
       1       0       3    19.3    20.2      16
       1       0       3    20.3    21.1      17
       1       0       3    21.2    22.0      18
       1       0       3    22.1    22.9      19
       1       0       3    23.0    23.8      20
       1       0       3    23.9    24.8      21
       1       0       3    24.9    25.7      22
       1       0       3    25.8    26.6      23
       1       0       3    26.7    27.5      24
       1       0       3    27.6    28.4      25
       1       0       3    28.5    29.3      26
       1       0       3    29.4    30.3      27
       1       0       3    30.4    31.2      28
       1       0       3    31.3    32.1      29
       1       0       3    32.2    33.0      30
       1       0       3    33.1    33.9      31
       1       0       3    34.0    34.9      32
       1       0       3    35.0    35.8      33
       1       0       3    35.9    36.7      34
       1       0       3    36.8    37.6      35
       1       0       3    37.7    38.5      36
       1       0       3    38.6    39.5      37
       1       0       3    39.6    40.4      38
       1       0       3    40.5    41.3      39
       1       0       3    41.4    42.2      40
       1       0       3    42.3    43.1      41
       1       0       3    43.2    44.0      42
       1       0       3    44.1    45.0      43
       1       0       3    45.1    45.9      44
       1       0       3    46.0    46.8      45
       1       0       3    46.9    47.7      46
       1       0       3    47.8    48.6      47
       1       0       3    48.7    49.6      48
       1       0       3    49.7    50.5      49
       1       0       3    50.6    51.4      50
       1       0       3    51.5    52.3      51
       1       0       3    52.4    53.2      52
       1       0       3    53.3    54.0      53
       1       1       1    -4.4    -3.7       0
       1       1       1    -3.6    -2.8       1
       1       1       1    -2.7    -2.0       2
       1       1       1    -1.9    -1.1       3
       1       1       1    -1.0    -0.3       4
       1       1       1    -0.2     0.5       5
       1       1       1     0.6     1.4       6
       1       1       1     1.5     2.2       7
       1       1       1     2.3     3.1       8
       1       1       1     3.2     3.9       9
       1       1       1     4.0     4.8      10
       1       1       1     4.9     5.6      11
       1       1       1     5.7     6.4      12
       1       1       1     6.5     7.3      13
       1       1       1     7.4     8.1      14
       1       1       1     8.2     9.0      15
       1       1       1     9.1     9.8      16
       1       1       1     9.9    10.7      17
       1       1       1    10.8    11.5      18
       1       1       1    11.6    12.3      19
       1       1       1    12.4    13.2      20
       1       1       1    13.3    14.0      21
       1       1       1    14.1    14.9      22
       1       1       1    15.0    15.7      23
       1       1       1    15.8    16.6      24
       1       1       1    16.7    17.4      25
       1       1       1    17.5    18.2      26
       1       1       1    18.3    19.1      27
       1       1       1    19.2    19.9      28
       1       1       1    20.0    20.8      29
       1       1       1    20.9    21.6      30
       1       1       1    21.7    22.5      31
       1       1       1    22.6    23.3      32
       1       1       1    23.4    24.2      33
       1       1       1    24.3    25.0      34
       1       1       1    25.1    25.8      35
       1       1       1    25.9    26.7      36
       1       1       1    26.8    27.5      37
       1       1       1    27.6    28.4      38
       1       1       1    28.5    29.2      39
       1       1       1    29.3    30.1      40
       1       1       1    30.2    30.9      41
       1       1       1    31.0    31.7      42
       1       1       1    31.8    32.6      43
       1       1       1    32.7    33.4      44
       1       1       1    33.5    34.3      45
       1       1       1    34.4    35.1      46
       1       1       1    35.2    36.0      47
       1       1       1    36.1    36.8      48
       1       1       1    36.9    37.6      49
       1       1       1    37.7    38.5      50
       1       1       1    38.6    39.3      51
       1       1       1    39.4    40.2      52
       1       1       1    40.3    41.0      53
       1       1       1    41.1    41.9      54
       1       1       1    42.0    42.7      55
       1       1       1    42.8    43.5      56
       1       1       1    43.6    44.4      57
       1       1       1    44.5    45.2      58
       1       1       1    45.3    46.1      59
       1       1       1    46.2    46.9      60
       1       1       1    47.0    47.8      61
       1       1       1    47.9    48.6      62
       1       1       1    48.7    49.5      63
       1       1       1    49.6    50.3      64
       1       1       1    50.4    51.1      65
       1       1       1    51.2    52.0      66
       1       1       1    52.1    52.8      67
       1       1       1    52.9    53.7      68
       1       1       1    53.8    54.0      69
       1       1       3    -4.7    -3.9      -6
       1       1       3    -3.8    -2.9      -5
       1       1       3    -2.8    -2.0      -4
       1       1       3    -1.9    -1.1      -3
       1       1       3    -1.0    -0.1      -2
       1       1       3     0.0     0.8      -1
       1       1       3     0.9     1.7       0
       1       1       3     1.8     2.7       1
       1       1       3     2.8     3.6       2
       1       1       3     3.7     4.5       3
       1       1       3     4.6     5.5       4
       1       1       3     5.6     6.4       5
       1       1       3     6.5     7.3       6
       1       1       3     7.4     8.3       7
       1       1       3     8.4     9.2       8
       1       1       3     9.3    10.1       9
       1       1       3    10.2    11.1      10
       1       1       3    11.2    12.0      11
       1       1       3    12.1    12.9      12
       1       1       3    13.0    13.9      13
       1       1       3    14.0    14.8      14
       1       1       3    14.9    15.7      15
       1       1       3    15.8    16.7      16
       1       1       3    16.8    17.6      17
       1       1       3    17.7    18.5      18
       1       1       3    18.6    19.5      19
       1       1       3    19.6    20.4      20
       1       1       3    20.5    21.3      21
       1       1       3    21.4    22.3      22
       1       1       3    22.4    23.2      23
       1       1       3    23.3    24.1      24
       1       1       3    24.2    25.1      25
       1       1       3    25.2    26.0      26
       1       1       3    26.1    26.9      27
       1       1       3    27.0    27.9      28
       1       1       3    28.0    28.8      29
       1       1       3    28.9    29.7      30
       1       1       3    29.8    30.7      31
       1       1       3    30.8    31.6      32
       1       1       3    31.7    32.5      33
       1       1       3    32.6    33.5      34
       1       1       3    33.6    34.4      35
       1       1       3    34.5    35.3      36
       1       1       3    35.4    36.3      37
       1       1       3    36.4    37.2      38
       1       1       3    37.3    38.1      39
       1       1       3    38.2    39.1      40
       1       1       3    39.2    40.0      41
       1       1       3    40.1    40.9      42
       1       1       3    41.0    41.9      43
       1       1       3    42.0    42.8      44
       1       1       3    42.9    43.7      45
       1       1       3    43.8    44.7      46
       1       1       3    44.8    45.6      47
       1       1       3    45.7    46.6      48
       1       1       3    46.7    47.5      49
       1       1       3    47.6    48.4      50
       1       1       3    48.5    49.4      51
       1       1       3    49.5    50.3      52
       1       1       3    50.4    51.2      53
       1       1       3    51.3    52.2      54
       1       1       3    52.3    53.1      55
       1       1       3    53.2    54.0      56
